MODEL ID || MODEL TYPE || ITERATION COUNT || TRAINING IMAGE COUNT || TEST IMAGE COUNT || LEARNING RATE || LAMBDA || TRAIN ACCURACY || TEST ACCURACY || OPTIMIZER TYPE || BATCH SIZE ||
    0    ||   3-nn-v2  ||       1000      ||         15000        ||       2500       ||      0.01     ||  0.05  ||    98.46667    ||    92.32000   ||                ||            ||
    1    ||   3-nn-v2  ||       1000      ||         15000        ||       2500       ||      0.01     ||  0.05  ||    96.22667    ||    91.64000   ||                ||            ||
    2    ||   3-nn-v2  ||       3000      ||         15000        ||       2500       ||      0.01     ||  0.05  ||    96.71333    ||    90.28000   ||                ||            ||
    3    ||   3-nn-v2  ||       3000      ||         15000        ||       2500       ||      0.01     ||  0.05  ||    99.52000    ||    90.96000   ||                ||            ||
    4    ||   3-nn-v2  ||       3000      ||         15000        ||       2500       ||      0.01     ||  0.05  ||    87.41333    ||    80.04000   ||                ||            ||
    5    ||   3-nn-v2  ||       3000      ||         15000        ||       2500       ||      0.01     ||   0.1  ||    95.52000    ||    88.92000   ||                ||            ||
    6    ||   3-nn-v3  ||       1000      ||         15000        ||       2500       ||      0.01     ||  0.05  ||    99.15333    ||    92.00000   ||                ||            ||
    7    ||   3-nn-v3  ||    400 epochs   ||         15000        ||       2500       ||      0.01     ||  0.05  ||    95.02216    ||    93.44000   ||   mini-batch   ||     64     ||
    8    ||   3-nn-v3  ||    400 epochs   ||         15000        ||       2500       ||      0.01     ||  0.05  ||    95.01330    ||    93.20000   ||   mini-batch   ||     64     ||
    9    ||   3-nn-v3  ||    400 epochs   ||         15000        ||       2500       ||      0.01     ||  0.05  ||    95.01551    ||    92.96000   ||   mini-batch   ||     64     ||
   10    ||   3-nn-v3  ||    400 epochs   ||         15000        ||       2500       ||      0.01     ||  0.05  ||    94.93351    ||    93.60000   || batch+momentum ||     64     ||
   11    ||   3-nn-v3  ||    400 epochs   ||         30000        ||       5000       ||      0.01     ||  0.05  ||    96.57691    ||    94.60000   || batch+momentum ||     128    ||
   12    ||   3-nn-v3  ||    300 epochs   ||         30000        ||       5000       ||      0.01     ||  0.05  ||    96.19459    ||    95.04000   || batch+momentum ||     128    ||
   13    ||   3-nn-v3  ||    300 epochs   ||         60000        ||       10000      ||      0.01     ||  0.05  ||    96.95218    ||    96.11000   || batch+momentum ||     128    ||
   14    ||   3-nn-v3  ||    300 epochs   ||         30000        ||       5000       ||      0.01     ||  0.05  ||    96.11924    ||    95.08000   || batch+momentum ||     128    ||
